timestamp,market_id,market_name,market_status,market_url,contract_id,contract_name,contract_short_name,contract_status,last_trade_price,best_buy_yes,best_buy_no,best_sell_yes,best_sell_no,last_close_price,date_end
2025-12-03T22:45:37.418035,7001,Which party will win the 2024 presidential election?,Open,https://www.predictit.org/markets/detail/7001,70011,Democratic,Democratic,Open,0.52,0.53,0.48,0.52,0.47,0.52,2024-11-05T23:59:59
2025-12-03T22:45:37.418035,7001,Which party will win the 2024 presidential election?,Open,https://www.predictit.org/markets/detail/7001,70012,Republican,Republican,Open,0.48,0.49,0.52,0.48,0.51,0.48,2024-11-05T23:59:59
2025-12-03T22:45:37.418035,7002,Who will win the Democratic nomination?,Open,https://www.predictit.org/markets/detail/7002,70021,Biden,Biden,Open,0.65,0.66,0.35,0.65,0.34,0.65,2024-08-20T23:59:59
2025-12-03T22:45:37.418035,7002,Who will win the Democratic nomination?,Open,https://www.predictit.org/markets/detail/7002,70022,Harris,Harris,Open,0.15,0.16,0.85,0.15,0.84,0.15,2024-08-20T23:59:59
2025-12-03T22:45:37.418035,7002,Who will win the Democratic nomination?,Open,https://www.predictit.org/markets/detail/7002,70023,Newsom,Newsom,Open,0.12,0.13,0.88,0.12,0.87,0.12,2024-08-20T23:59:59
2025-12-03T22:45:37.418035,7002,Who will win the Democratic nomination?,Open,https://www.predictit.org/markets/detail/7002,70024,Whitmer,Whitmer,Open,0.08,0.09,0.92,0.08,0.91,0.08,2024-08-20T23:59:59
2025-12-03T22:45:37.418035,7004,ARBITRAGE EXAMPLE: Who will be the next Fed Chair?,Open,https://www.predictit.org/markets/detail/7004,70041,Powell,Powell,Open,0.45,0.46,0.25,0.45,0.24,0.45,2026-05-15T23:59:59
2025-12-03T22:45:37.418035,7004,ARBITRAGE EXAMPLE: Who will be the next Fed Chair?,Open,https://www.predictit.org/markets/detail/7004,70042,Yellen,Yellen,Open,0.3,0.31,0.28,0.3,0.27,0.3,2026-05-15T23:59:59
2025-12-03T22:45:37.418035,7004,ARBITRAGE EXAMPLE: Who will be the next Fed Chair?,Open,https://www.predictit.org/markets/detail/7004,70043,Brainard,Brainard,Open,0.2,0.21,0.3,0.2,0.29,0.2,2026-05-15T23:59:59
2025-12-03T22:45:37.418035,7004,ARBITRAGE EXAMPLE: Who will be the next Fed Chair?,Open,https://www.predictit.org/markets/detail/7004,70044,Other,Other,Open,0.05,0.06,0.18,0.05,0.17,0.05,2026-05-15T23:59:59
